,unique_id,bank_account
247,uniqueid_6316 x 2018,0
248,uniqueid_6317 x 2018,1
249,uniqueid_6318 x 2018,0
250,uniqueid_6319 x 2018,1
251,uniqueid_6320 x 2018,1
252,uniqueid_6321 x 2018,0
253,uniqueid_6322 x 2018,0
254,uniqueid_6323 x 2018,0
255,uniqueid_6324 x 2018,0
256,uniqueid_6325 x 2018,0
257,uniqueid_6326 x 2018,1
258,uniqueid_6327 x 2018,1
259,uniqueid_6328 x 2018,1
260,uniqueid_6329 x 2018,0
261,uniqueid_6330 x 2018,1
262,uniqueid_6331 x 2018,0
263,uniqueid_6332 x 2018,0
264,uniqueid_6333 x 2018,0
265,uniqueid_6334 x 2018,0
266,uniqueid_6335 x 2018,0
267,uniqueid_6336 x 2018,0
268,uniqueid_6337 x 2018,0
269,uniqueid_6338 x 2018,0
270,uniqueid_6339 x 2018,1
271,uniqueid_6340 x 2018,0
272,uniqueid_6341 x 2018,1
273,uniqueid_6342 x 2018,0
274,uniqueid_6343 x 2018,0
275,uniqueid_6344 x 2018,0
276,uniqueid_6345 x 2018,0
277,uniqueid_6346 x 2018,0
278,uniqueid_6347 x 2018,0
279,uniqueid_6348 x 2018,0
280,uniqueid_6349 x 2018,1
281,uniqueid_6350 x 2018,1
282,uniqueid_6351 x 2018,1
283,uniqueid_6352 x 2018,1
284,uniqueid_6353 x 2018,0
285,uniqueid_6354 x 2018,1
286,uniqueid_6355 x 2018,0
287,uniqueid_6356 x 2018,0
288,uniqueid_6357 x 2018,1
289,uniqueid_6358 x 2018,0
290,uniqueid_6359 x 2018,1
291,uniqueid_6360 x 2018,0
292,uniqueid_6361 x 2018,0
293,uniqueid_6362 x 2018,0
294,uniqueid_6363 x 2018,0
295,uniqueid_6364 x 2018,1
296,uniqueid_6365 x 2018,0
297,uniqueid_6366 x 2018,0
298,uniqueid_6367 x 2018,0
299,uniqueid_6368 x 2018,0
300,uniqueid_6369 x 2018,0
301,uniqueid_6370 x 2018,1
302,uniqueid_6371 x 2018,0
303,uniqueid_6372 x 2018,0
304,uniqueid_6373 x 2018,1
305,uniqueid_6374 x 2018,1
306,uniqueid_6375 x 2018,0
307,uniqueid_6376 x 2018,0
308,uniqueid_6377 x 2018,1
309,uniqueid_6378 x 2018,1
310,uniqueid_6379 x 2018,0
311,uniqueid_6380 x 2018,0
312,uniqueid_6381 x 2018,1
313,uniqueid_6382 x 2018,0
314,uniqueid_6383 x 2018,0
315,uniqueid_6384 x 2018,0
316,uniqueid_6385 x 2018,1
317,uniqueid_6386 x 2018,0
318,uniqueid_6387 x 2018,0
319,uniqueid_6388 x 2018,0
320,uniqueid_6389 x 2018,1
321,uniqueid_6390 x 2018,1
322,uniqueid_6391 x 2018,1
323,uniqueid_6392 x 2018,1
324,uniqueid_6393 x 2018,0
325,uniqueid_6394 x 2018,0
326,uniqueid_6395 x 2018,0
327,uniqueid_6396 x 2018,1
328,uniqueid_6397 x 2018,0
329,uniqueid_6398 x 2018,0
330,uniqueid_6399 x 2018,0
331,uniqueid_6400 x 2018,0
332,uniqueid_6401 x 2018,0
333,uniqueid_6402 x 2018,0
334,uniqueid_6403 x 2018,0
335,uniqueid_6404 x 2018,0
336,uniqueid_6405 x 2018,1
337,uniqueid_6406 x 2018,0
338,uniqueid_6407 x 2018,1
339,uniqueid_6408 x 2018,0
340,uniqueid_6409 x 2018,0
341,uniqueid_6410 x 2018,1
342,uniqueid_6411 x 2018,0
343,uniqueid_6412 x 2018,0
344,uniqueid_6413 x 2018,0
345,uniqueid_6414 x 2018,0
346,uniqueid_6415 x 2018,1
347,uniqueid_6416 x 2018,0
348,uniqueid_6417 x 2018,1
349,uniqueid_6418 x 2018,1
350,uniqueid_6419 x 2018,0
351,uniqueid_6420 x 2018,0
352,uniqueid_6421 x 2018,0
353,uniqueid_6422 x 2018,0
354,uniqueid_6423 x 2018,1
355,uniqueid_6424 x 2018,0
356,uniqueid_6425 x 2018,1
357,uniqueid_6426 x 2018,1
358,uniqueid_6427 x 2018,0
359,uniqueid_6428 x 2018,0
360,uniqueid_6429 x 2018,0
361,uniqueid_6430 x 2018,1
362,uniqueid_6431 x 2018,0
363,uniqueid_6432 x 2018,0
364,uniqueid_6433 x 2018,0
365,uniqueid_6434 x 2018,0
366,uniqueid_6435 x 2018,0
367,uniqueid_6436 x 2018,0
368,uniqueid_6437 x 2018,0
369,uniqueid_6438 x 2018,0
370,uniqueid_6439 x 2018,0
371,uniqueid_6440 x 2018,0
372,uniqueid_6441 x 2018,0
373,uniqueid_6442 x 2018,0
374,uniqueid_6443 x 2018,1
375,uniqueid_6444 x 2018,1
376,uniqueid_6445 x 2018,0
377,uniqueid_6446 x 2018,0
378,uniqueid_6447 x 2018,0
379,uniqueid_6448 x 2018,0
380,uniqueid_6449 x 2018,0
381,uniqueid_6450 x 2018,0
382,uniqueid_6451 x 2018,0
383,uniqueid_6452 x 2018,1
384,uniqueid_6453 x 2018,1
385,uniqueid_6454 x 2018,0
386,uniqueid_6455 x 2018,0
387,uniqueid_6456 x 2018,0
388,uniqueid_6457 x 2018,1
389,uniqueid_6458 x 2018,0
390,uniqueid_6459 x 2018,0
391,uniqueid_6460 x 2018,1
392,uniqueid_6461 x 2018,0
393,uniqueid_6462 x 2018,0
394,uniqueid_6463 x 2018,0
395,uniqueid_6464 x 2018,0
396,uniqueid_6465 x 2018,0
397,uniqueid_6466 x 2018,0
398,uniqueid_6467 x 2018,0
399,uniqueid_6468 x 2018,1
400,uniqueid_6469 x 2018,1
401,uniqueid_6470 x 2018,0
402,uniqueid_6471 x 2018,0
403,uniqueid_6472 x 2018,0
404,uniqueid_6473 x 2018,0
405,uniqueid_6474 x 2018,1
406,uniqueid_6475 x 2018,0
407,uniqueid_6476 x 2018,0
408,uniqueid_6477 x 2018,0
409,uniqueid_6478 x 2018,0
410,uniqueid_6479 x 2018,0
411,uniqueid_6480 x 2018,0
412,uniqueid_6481 x 2018,0
413,uniqueid_6482 x 2018,0
414,uniqueid_6483 x 2018,0
415,uniqueid_6484 x 2018,0
416,uniqueid_6485 x 2018,1
417,uniqueid_6486 x 2018,1
418,uniqueid_6487 x 2018,0
419,uniqueid_6488 x 2018,0
420,uniqueid_6489 x 2018,1
421,uniqueid_6490 x 2018,0
422,uniqueid_6491 x 2018,0
423,uniqueid_6492 x 2018,0
424,uniqueid_6493 x 2018,1
425,uniqueid_6494 x 2018,1
426,uniqueid_6495 x 2018,0
427,uniqueid_6496 x 2018,1
428,uniqueid_6497 x 2018,0
429,uniqueid_6498 x 2018,1
430,uniqueid_6499 x 2018,1
431,uniqueid_6500 x 2018,0
432,uniqueid_6501 x 2018,0
433,uniqueid_6502 x 2018,0
434,uniqueid_6503 x 2018,1
435,uniqueid_6504 x 2018,1
436,uniqueid_6505 x 2018,1
437,uniqueid_6506 x 2018,1
438,uniqueid_6507 x 2018,0
439,uniqueid_6508 x 2018,0
440,uniqueid_6509 x 2018,1
441,uniqueid_6510 x 2018,1
442,uniqueid_6511 x 2018,1
443,uniqueid_6512 x 2018,0
444,uniqueid_6513 x 2018,0
445,uniqueid_6514 x 2018,1
446,uniqueid_6515 x 2018,1
447,uniqueid_6516 x 2018,1
448,uniqueid_6517 x 2018,0
449,uniqueid_6518 x 2018,0
450,uniqueid_6519 x 2018,0
451,uniqueid_6520 x 2018,1
452,uniqueid_6521 x 2018,0
453,uniqueid_6522 x 2018,0
454,uniqueid_6523 x 2018,0
455,uniqueid_6524 x 2018,1
456,uniqueid_6525 x 2018,0
457,uniqueid_6526 x 2018,0
458,uniqueid_6527 x 2018,0
459,uniqueid_6528 x 2018,0
460,uniqueid_6529 x 2018,0
461,uniqueid_6530 x 2018,0
462,uniqueid_6531 x 2018,0
463,uniqueid_6532 x 2018,1
464,uniqueid_6533 x 2018,0
465,uniqueid_6534 x 2018,1
466,uniqueid_6535 x 2018,1
467,uniqueid_6536 x 2018,0
468,uniqueid_6537 x 2018,0
469,uniqueid_6538 x 2018,0
470,uniqueid_6539 x 2018,1
471,uniqueid_6540 x 2018,1
472,uniqueid_6541 x 2018,0
473,uniqueid_6542 x 2018,1
474,uniqueid_6543 x 2018,1
475,uniqueid_6544 x 2018,0
476,uniqueid_6545 x 2018,0
477,uniqueid_6546 x 2018,0
478,uniqueid_6547 x 2018,1
479,uniqueid_6548 x 2018,0
480,uniqueid_6549 x 2018,0
481,uniqueid_6550 x 2018,0
482,uniqueid_6551 x 2018,0
483,uniqueid_6552 x 2018,1
484,uniqueid_6553 x 2018,0
485,uniqueid_6554 x 2018,0
486,uniqueid_6555 x 2018,0
487,uniqueid_6556 x 2018,0
488,uniqueid_6557 x 2018,0
489,uniqueid_6558 x 2018,1
490,uniqueid_6559 x 2018,1
491,uniqueid_6560 x 2018,1
492,uniqueid_6561 x 2018,1
493,uniqueid_6562 x 2018,0
494,uniqueid_6563 x 2018,0
495,uniqueid_6564 x 2018,1
496,uniqueid_6565 x 2018,0
497,uniqueid_6566 x 2018,0
498,uniqueid_6567 x 2018,0
499,uniqueid_6568 x 2018,0
500,uniqueid_6569 x 2018,0
501,uniqueid_6570 x 2018,1
502,uniqueid_6571 x 2018,0
503,uniqueid_6572 x 2018,0
504,uniqueid_6573 x 2018,0
505,uniqueid_6574 x 2018,1
506,uniqueid_6575 x 2018,0
507,uniqueid_6576 x 2018,0
508,uniqueid_6577 x 2018,0
509,uniqueid_6578 x 2018,0
510,uniqueid_6579 x 2018,1
511,uniqueid_6580 x 2018,0
512,uniqueid_6581 x 2018,0
513,uniqueid_6582 x 2018,0
514,uniqueid_6583 x 2018,0
515,uniqueid_6584 x 2018,1
516,uniqueid_6585 x 2018,0
517,uniqueid_6586 x 2018,0
518,uniqueid_6587 x 2018,0
519,uniqueid_6588 x 2018,1
520,uniqueid_6589 x 2018,0
521,uniqueid_6590 x 2018,0
522,uniqueid_6591 x 2018,0
523,uniqueid_6592 x 2018,0
524,uniqueid_6593 x 2018,1
525,uniqueid_6594 x 2018,0
526,uniqueid_6595 x 2018,1
527,uniqueid_6596 x 2018,1
528,uniqueid_6597 x 2018,0
529,uniqueid_6598 x 2018,0
530,uniqueid_6599 x 2018,0
531,uniqueid_6600 x 2018,0
532,uniqueid_6601 x 2018,0
533,uniqueid_6602 x 2018,1
534,uniqueid_6603 x 2018,0
535,uniqueid_6604 x 2018,0
536,uniqueid_6605 x 2018,0
537,uniqueid_6606 x 2018,0
538,uniqueid_6607 x 2018,1
539,uniqueid_6608 x 2018,0
540,uniqueid_6609 x 2018,1
541,uniqueid_6610 x 2018,0
542,uniqueid_6611 x 2018,0
543,uniqueid_6612 x 2018,1
544,uniqueid_6613 x 2018,0
545,uniqueid_6614 x 2018,0
546,uniqueid_6615 x 2018,0
547,uniqueid_6616 x 2018,0
548,uniqueid_6617 x 2018,0
549,uniqueid_6618 x 2018,1
550,uniqueid_6619 x 2018,0
551,uniqueid_6620 x 2018,1
552,uniqueid_6621 x 2018,0
553,uniqueid_6622 x 2018,0
554,uniqueid_6623 x 2018,0
555,uniqueid_6624 x 2018,0
556,uniqueid_6625 x 2018,0
557,uniqueid_6626 x 2018,0
558,uniqueid_6627 x 2018,1
559,uniqueid_6628 x 2018,1
560,uniqueid_6629 x 2018,0
561,uniqueid_6630 x 2018,0
562,uniqueid_6631 x 2018,1
563,uniqueid_6632 x 2018,1
564,uniqueid_6633 x 2018,1
565,uniqueid_6634 x 2018,0
566,uniqueid_6635 x 2018,0
567,uniqueid_6636 x 2018,0
568,uniqueid_6637 x 2018,0
569,uniqueid_6638 x 2018,0
570,uniqueid_6639 x 2018,0
571,uniqueid_6640 x 2018,0
572,uniqueid_6641 x 2018,1
573,uniqueid_6642 x 2018,0
574,uniqueid_6643 x 2018,0
575,uniqueid_6644 x 2018,1
576,uniqueid_6645 x 2018,0
577,uniqueid_6646 x 2018,0
578,uniqueid_6647 x 2018,0
579,uniqueid_6648 x 2018,0
580,uniqueid_6649 x 2018,0
581,uniqueid_6650 x 2018,0
582,uniqueid_6651 x 2018,0
583,uniqueid_6652 x 2018,1
584,uniqueid_6653 x 2018,0
585,uniqueid_6654 x 2018,0
586,uniqueid_6655 x 2018,0
587,uniqueid_6656 x 2018,0
588,uniqueid_6657 x 2018,0
589,uniqueid_6658 x 2018,1
590,uniqueid_6659 x 2018,0
591,uniqueid_6660 x 2018,0
592,uniqueid_6661 x 2018,0
593,uniqueid_6662 x 2018,0
594,uniqueid_6663 x 2018,0
595,uniqueid_6664 x 2018,1
596,uniqueid_6665 x 2018,0
597,uniqueid_6666 x 2018,0
598,uniqueid_6667 x 2018,0
599,uniqueid_6668 x 2018,0
600,uniqueid_6669 x 2018,1
601,uniqueid_6670 x 2018,1
602,uniqueid_6671 x 2018,0
603,uniqueid_6672 x 2018,0
604,uniqueid_6673 x 2018,0
605,uniqueid_6674 x 2018,0
606,uniqueid_6675 x 2018,1
607,uniqueid_6676 x 2018,1
608,uniqueid_6677 x 2018,0
609,uniqueid_6678 x 2018,1
610,uniqueid_6679 x 2018,1
611,uniqueid_6680 x 2018,0
612,uniqueid_6681 x 2018,0
613,uniqueid_6682 x 2018,0
614,uniqueid_6683 x 2018,0
615,uniqueid_6684 x 2018,1
616,uniqueid_6685 x 2018,0
617,uniqueid_6686 x 2018,1
618,uniqueid_6687 x 2018,1
619,uniqueid_6688 x 2018,0
620,uniqueid_6689 x 2018,1
621,uniqueid_6690 x 2018,0
622,uniqueid_6691 x 2018,0
623,uniqueid_6692 x 2018,0
624,uniqueid_6693 x 2018,1
625,uniqueid_6694 x 2018,1
626,uniqueid_6695 x 2018,0
627,uniqueid_6696 x 2018,0
628,uniqueid_6697 x 2018,0
629,uniqueid_6698 x 2018,0
630,uniqueid_6699 x 2018,0
631,uniqueid_6700 x 2018,0
632,uniqueid_6701 x 2018,0
633,uniqueid_6702 x 2018,0
634,uniqueid_6703 x 2018,0
635,uniqueid_6704 x 2018,0
636,uniqueid_6705 x 2018,1
637,uniqueid_6706 x 2018,0
638,uniqueid_6707 x 2018,0
639,uniqueid_6708 x 2018,1
640,uniqueid_6709 x 2018,0
641,uniqueid_6710 x 2018,1
642,uniqueid_6711 x 2018,0
643,uniqueid_6712 x 2018,0
644,uniqueid_6713 x 2018,0
645,uniqueid_6714 x 2018,1
646,uniqueid_6715 x 2018,1
647,uniqueid_6716 x 2018,0
648,uniqueid_6717 x 2018,0
649,uniqueid_6718 x 2018,0
650,uniqueid_6719 x 2018,0
651,uniqueid_6720 x 2018,0
652,uniqueid_6721 x 2018,1
653,uniqueid_6722 x 2018,0
654,uniqueid_6723 x 2018,1
655,uniqueid_6724 x 2018,1
656,uniqueid_6725 x 2018,0
657,uniqueid_6726 x 2018,0
658,uniqueid_6727 x 2018,0
659,uniqueid_6728 x 2018,0
660,uniqueid_6729 x 2018,1
661,uniqueid_6730 x 2018,0
662,uniqueid_6731 x 2018,0
663,uniqueid_6732 x 2018,0
664,uniqueid_6733 x 2018,0
665,uniqueid_6734 x 2018,0
666,uniqueid_6735 x 2018,0
667,uniqueid_6736 x 2018,0
668,uniqueid_6737 x 2018,0
669,uniqueid_6738 x 2018,1
670,uniqueid_6739 x 2018,0
671,uniqueid_6740 x 2018,0
672,uniqueid_6741 x 2018,1
673,uniqueid_6742 x 2018,0
674,uniqueid_6743 x 2018,1
675,uniqueid_6744 x 2018,0
676,uniqueid_6745 x 2018,0
677,uniqueid_6746 x 2018,1
678,uniqueid_6747 x 2018,0
679,uniqueid_6748 x 2018,1
680,uniqueid_6749 x 2018,0
681,uniqueid_6750 x 2018,0
682,uniqueid_6751 x 2018,1
683,uniqueid_6752 x 2018,1
684,uniqueid_6753 x 2018,0
685,uniqueid_6754 x 2018,0
686,uniqueid_6755 x 2018,0
687,uniqueid_6756 x 2018,0
688,uniqueid_6757 x 2018,1
689,uniqueid_6758 x 2018,0
690,uniqueid_6759 x 2018,1
691,uniqueid_6760 x 2018,1
692,uniqueid_6761 x 2018,1
693,uniqueid_6762 x 2018,0
694,uniqueid_6763 x 2018,0
695,uniqueid_6764 x 2018,1
696,uniqueid_6765 x 2018,0
697,uniqueid_6766 x 2018,1
698,uniqueid_6767 x 2018,1
699,uniqueid_6768 x 2018,0
700,uniqueid_6769 x 2018,0
701,uniqueid_6770 x 2018,0
702,uniqueid_6771 x 2018,1
703,uniqueid_6772 x 2018,0
704,uniqueid_6773 x 2018,1
705,uniqueid_6774 x 2018,0
706,uniqueid_6775 x 2018,0
707,uniqueid_6776 x 2018,0
708,uniqueid_6777 x 2018,0
709,uniqueid_6778 x 2018,1
710,uniqueid_6779 x 2018,0
711,uniqueid_6780 x 2018,1
712,uniqueid_6781 x 2018,0
713,uniqueid_6782 x 2018,0
714,uniqueid_6783 x 2018,0
715,uniqueid_6784 x 2018,1
716,uniqueid_6785 x 2018,0
717,uniqueid_6786 x 2018,1
718,uniqueid_6787 x 2018,0
719,uniqueid_6788 x 2018,1
720,uniqueid_6789 x 2018,0
721,uniqueid_6790 x 2018,1
722,uniqueid_6791 x 2018,0
723,uniqueid_6792 x 2018,1
724,uniqueid_6793 x 2018,0
725,uniqueid_6794 x 2018,0
726,uniqueid_6795 x 2018,1
727,uniqueid_6796 x 2018,0
728,uniqueid_6797 x 2018,0
729,uniqueid_6798 x 2018,0
730,uniqueid_6799 x 2018,0
731,uniqueid_6800 x 2018,1
732,uniqueid_6801 x 2018,1
733,uniqueid_6802 x 2018,0
734,uniqueid_6803 x 2018,1
735,uniqueid_6804 x 2018,0
736,uniqueid_6805 x 2018,0
737,uniqueid_6806 x 2018,1
738,uniqueid_6807 x 2018,0
739,uniqueid_6808 x 2018,0
740,uniqueid_6809 x 2018,1
741,uniqueid_6810 x 2018,0
742,uniqueid_6811 x 2018,0
743,uniqueid_6812 x 2018,0
744,uniqueid_6813 x 2018,0
745,uniqueid_6814 x 2018,0
746,uniqueid_6815 x 2018,1
747,uniqueid_6816 x 2018,0
748,uniqueid_6817 x 2018,0
749,uniqueid_6818 x 2018,0
750,uniqueid_6819 x 2018,1
751,uniqueid_6820 x 2018,1
752,uniqueid_6821 x 2018,1
753,uniqueid_6822 x 2018,0
754,uniqueid_6823 x 2018,1
755,uniqueid_6824 x 2018,0
756,uniqueid_6825 x 2018,1
757,uniqueid_6826 x 2018,0
758,uniqueid_6827 x 2018,0
759,uniqueid_6828 x 2018,0
760,uniqueid_6829 x 2018,1
761,uniqueid_6830 x 2018,0
762,uniqueid_6831 x 2018,1
763,uniqueid_6832 x 2018,0
764,uniqueid_6833 x 2018,0
765,uniqueid_6834 x 2018,1
766,uniqueid_6835 x 2018,0
767,uniqueid_6836 x 2018,0
768,uniqueid_6837 x 2018,0
769,uniqueid_6838 x 2018,1
770,uniqueid_6839 x 2018,0
771,uniqueid_6840 x 2018,0
772,uniqueid_6841 x 2018,0
773,uniqueid_6842 x 2018,0
774,uniqueid_6843 x 2018,0
775,uniqueid_6844 x 2018,1
